"","means_control","means_uc","fold_change","hmr","mar"
"HMR_4004",-0.00775644028101257,-0.00775644028102982,0.00206713736561191,"HMR_4004","MAR04004"
"HMR_4020",-0.753130679156909,-0.753130679156909,0.0020671373656139,"HMR_4020","MAR04020"
"HMR_4080",0,5.41975984663515e-05,0.00207337567699184,"HMR_4080","MAR04080"
"HMR_4085",0.192839237127104,0.0353054936648942,-0.0160654842275845,"HMR_4085","MAR04085"
"HMR_4171",0.0272696693192472,0.030918701738228,0.00248715229435559,"HMR_4171","MAR04171"
"HMR_4418",0,5.41975984663515e-05,0.00207337567699184,"HMR_4418","MAR04418"
"HMR_4421",0.0317399943792204,0.0174651021699688,0.00042405307760452,"HMR_4421","MAR04421"
"HMR_4452",-0.754036533957845,-0.754036533957845,0.0020671373656139,"HMR_4452","MAR04452"
"HMR_4480",-0.0659078341912806,-0.0196686147486919,0.00738941467897218,"HMR_4480","MAR04480"
"HMR_4573",0.0700327868852458,0.0921512933041749,0.00461304593279895,"HMR_4573","MAR04573"
"HMR_4600",0.100046838407494,0.100046838407494,0.0020671373656139,"HMR_4600","MAR04600"
"HMR_4603",-0.0668136889922167,-0.0205744695496287,0.0073894146789721,"HMR_4603","MAR04603"
"HMR_4611",0.0794013188111053,0.129500611704295,0.00783372108383132,"HMR_4611","MAR04611"
"HMR_4612",0.00476110460885434,0.00090103115825424,0.00162283096075484,"HMR_4612","MAR04612"
"HMR_4651",0.0716499301671488,0.128624893047657,0.00862513198628141,"HMR_4651","MAR04651"
"HMR_4695",0.0668136889922167,0.0205744695496287,-0.00325513994774431,"HMR_4695","MAR04695"
"HMR_5353",-0.100046838407494,-0.100046838407494,0.00206713736561389,"HMR_5353","MAR05353"
"HMR_4016",-0.0359469795490474,-0.00265926245688958,0.0058986566608964,"HMR_4016","MAR04016"
"HMR_4018",0.00060526766580388,8.1521099054182e-05,0.00200685251427417,"HMR_4018","MAR04018"
"HMR_4044",49.946064029818,4.85016446947225,-5.18861051785553,"HMR_4044","MAR04044"
"HMR_4291",0,-9.3120751777165e-05,0.00205641887878473,"HMR_4291","MAR04291"
"HMR_4420",50,4.85436893203883,-5.19433476834962,"HMR_4420","MAR04420"
"HMR_4570",-0.0350163934426221,-0.00862607817322257,0.00510474435690602,"HMR_4570","MAR04570"
"HMR_4006",0.0192957002341921,0,-0.000153857470367557,"HMR_4006","MAR04006"
"HMR_4028",-0.0514625712204863,-0.000432061855678372,0.0079409069827385,"HMR_4028","MAR04028"
"HMR_4030",-0.0849573770491803,-0.0849573770491803,0.0020671373656139,"HMR_4030","MAR04030"
"HMR_4670",-0.100046838407498,-0.100046838407494,0.00206713736561439,"HMR_4670","MAR04670"
"HMR_6614",49.9849929742389,4.85364043564267,-5.19269126541373,"HMR_6614","MAR06614"
"HMR_6615",50,4.85436893203883,-5.19433476834962,"HMR_6615","MAR06615"
"HMR_4635",-50.0570729943269,-4.86271191297405,5.20407801848919,"HMR_4635","MAR04635"
"HMR_3931",0.0841624234199597,0.130401642862549,0.00738941467897226,"HMR_3931","MAR03931"
"HMR_4032",0.0845860418458118,0.0918558240573923,0.00290391180523849,"HMR_4032","MAR04032"
"HMR_4182",0.0296547284935873,0.000605511470862418,-0.00127651744938214,"HMR_4182","MAR04182"
"HMR_4194",0.0235652831018473,0.00150744859939977,-0.000471787676145324,"HMR_4194","MAR04194"
"HMR_4512",-0.0211112301838119,-0.0349904767597777,0.000469593114905132,"HMR_4512","MAR04512"
"HMR_4577",0.585927132896315,0.747097452854708,0.0206183401722767,"HMR_4577","MAR04577"
"HMR_4575",-0.038951756440281,-0.038951756440281,0.00206713736561389,"HMR_4575","MAR04575"
"HMR_4637",-0.15007025761124,-0.150070257611241,0.00206713736561378,"HMR_4637","MAR04637"
"HMR_4644",0.082698028840092,0.10343539162864,0.00445407202495448,"HMR_4644","MAR04644"
"HMR_6627",0.0779902375232508,0.140998780279853,0.00931961570983866,"HMR_6627","MAR06627"
"HMR_3967",0,-0.000465456102961598,0.00201356192712206,"HMR_3967","MAR03967"
"HMR_4024",-0.164872245184504,-0.213287544053344,-0.0035056134267958,"HMR_4024","MAR04024"
"HMR_4026",-0.0822685513796254,-0.08367808496004,0.00190489568662595,"HMR_4026","MAR04026"
"HMR_4054",0.0673722287711479,0.0466348659826012,-0.000319797293726532,"HMR_4054","MAR04054"
"HMR_4180",0.541054836488496,0.584892105802088,0.00711294278274454,"HMR_4180","MAR04180"
"HMR_4507",0.082698028840092,0.10343539162864,0.00445407202495447,"HMR_4507","MAR04507"
"HMR_4633",0.0668136889922167,0.0205744695496287,-0.00325513994774431,"HMR_4633","MAR04633"
"HMR_7160",0.500234192037471,0.500234192037471,0.0020671373656139,"HMR_7160","MAR07160"
"HMR_7162",2.10585480093677,2.10585480093677,0.0020671373656139,"HMR_7162","MAR07162"
"HMR_7800",0.0017664168618267,0.00293078332913961,0.00220115955085232,"HMR_7800","MAR07800"
"HMR_7886",-50,-4.85436893203883,5.19846904308085,"HMR_7886","MAR07886"
"HMR_8443",0,0.00161000521057004,0.00225245394988809,"HMR_8443","MAR08443"
"HMR_8448",0,-0.000621090356004217,0.00199564794275694,"HMR_8448","MAR08448"
"HMR_8450",-0.00500234192037395,-0.000109442713899184,0.00263032521257794,"HMR_8450","MAR08450"
"HMR_8456",-0.0350163934426229,-0.0449970342306111,0.000918334711091531,"HMR_8456","MAR08456"
"HMR_8461",0,-0.000109442713899186,0.00205454017041208,"HMR_8461","MAR08461"
