"","means_1","means_2","means_3","hmr","mar"
"HMR_4418",0,0,0.000398739474431014,"HMR_4418","MAR04418"
"HMR_4421",0.0159018267415893,0.0235890054283244,0.0192235554644679,"HMR_4421","MAR04421"
"HMR_4452",-0.754036533957845,-0.754036533957845,-0.754036533957845,"HMR_4452","MAR04452"
"HMR_4480",-0.0201276872202988,-0.0280198599833496,-0.0294380352235846,"HMR_4480","MAR04480"
"HMR_4573",0.0893864572147677,0.0949231263489286,0.081864290046983,"HMR_4573","MAR04573"
"HMR_4600",0.100046838407494,0.100046838407494,0.100046838407494,"HMR_4600","MAR04600"
"HMR_4603",-0.0210335420212355,-0.0289257147842865,-0.0303438900245215,"HMR_4603","MAR04603"
"HMR_4611",0.128046975485966,0.121485693996265,0.120632222387656,"HMR_4611","MAR04611"
"HMR_4612",0.00189559490497624,0.000564703631626454,0,"HMR_4612","MAR04612"
"HMR_4651",0.122182310793139,0.135104213770272,0.1007204972408,"HMR_4651","MAR04651"
"HMR_4695",0.0210335420212355,0.0289257147842865,0.0303438900245215,"HMR_4695","MAR04695"
"HMR_5353",-0.100046838407494,-0.100046838407494,-0.100046838407494,"HMR_5353","MAR05353"
"HMR_4016",-0.00753827523668473,-0.00199032885839628,-0.00600261975339658,"HMR_4016","MAR04016"
"HMR_4018",9.53177426462803e-05,0.0002365260057065,0,"HMR_4018","MAR04018"
"HMR_4044",7.86535346025186,14.0766377082945,-0.0102144797591167,"HMR_4044","MAR04044"
"HMR_4291",0,-0.000270181336142197,0,"HMR_4291","MAR04291"
"HMR_4420",7.8740157480315,14.0845070422535,0,"HMR_4420","MAR04420"
"HMR_4570",-0.0122768570456251,-0.00544125007354053,-0.018993227590019,"HMR_4570","MAR04570"
"HMR_4006",0.00303869295026646,0,0,"HMR_4006","MAR04006"
"HMR_4028",-0.00756915829496548,-0.00139123139121664,-0.00207841551580258,"HMR_4028","MAR04028"
"HMR_4030",-0.0849573770491803,-0.0849573770491803,-0.0849573770491803,"HMR_4030","MAR04030"
"HMR_4670",-0.100046838407495,-0.100046838407494,-0.100046838407494,"HMR_4670","MAR04670"
"HMR_6614",7.87165243688801,14.0823933766534,0,"HMR_6614","MAR06614"
"HMR_6615",7.8740157480315,14.0845070422535,0,"HMR_6615","MAR06615"
"HMR_4635",-7.88545122829923,-14.0942047260979,-0.0256883004371912,"HMR_4635","MAR04635"
"HMR_3931",0.129942570390942,0.122050397627891,0.120632222387656,"HMR_3931","MAR03931"
"HMR_4032",0.093592648589458,0.086564304742392,0.092203163756002,"HMR_4032","MAR04032"
"HMR_4182",0.00467003598324209,0,0.0044548343927735,"HMR_4182","MAR04182"
"HMR_4194",0.00447064711173132,0,0.00764528179726496,"HMR_4194","MAR04194"
"HMR_4512",-0.0302439935385916,-0.0417470412360033,-0.0294727038940385,"HMR_4512","MAR04512"
"HMR_4577",0.734848398926523,0.741695573063248,0.701231628387035,"HMR_4577","MAR04577"
"HMR_4575",-0.038951756440281,-0.038951756440281,-0.038951756440281,"HMR_4575","MAR04575"
"HMR_4637",-0.150070257611241,-0.150070257611241,-0.150070257611241,"HMR_4637","MAR04637"
"HMR_4644",0.0957755535636364,0.116864945103094,0.0893123159785794,"HMR_4644","MAR04644"
"HMR_6627",0.13627146620002,0.138258908166743,0.12438195717405,"HMR_6627","MAR06627"
"HMR_3967",0,-0.00135047827056464,0,"HMR_3967","MAR03967"
"HMR_4024",-0.20260897857819,-0.220121153005382,-0.209812029852382,"HMR_4024","MAR04024"
"HMR_4026",-0.0838245944766608,-0.0842275907243257,-0.0806133603356323,"HMR_4026","MAR04026"
"HMR_4054",0.0542947040476046,0.0332053125081479,0.0607579416326617,"HMR_4054","MAR04054"
"HMR_4180",0.576127558245311,0.59229658518735,0.574557609983702,"HMR_4180","MAR04180"
"HMR_4507",0.0957755535636362,0.116864945103094,0.0893123159785794,"HMR_4507","MAR04507"
"HMR_4633",0.0210335420212355,0.0289257147842865,0.0303438900245215,"HMR_4633","MAR04633"
"HMR_7160",0.500234192037471,0.500234192037471,0.500234192037471,"HMR_7160","MAR07160"
"HMR_7162",2.10585480093677,2.10585480093677,2.10585480093677,"HMR_7162","MAR07162"
"HMR_7800",0.00366454293817548,0.00129657326041915,0.00291485887147313,"HMR_7800","MAR07800"
"HMR_7886",-7.8740157480315,-14.0845070422535,0,"HMR_7886","MAR07886"
"HMR_8443",0.00215950204449313,0.000808511460940851,0,"HMR_8443","MAR08443"
"HMR_8448",-0.000651184219270977,-0.000317538014975089,-0.000810679229507975,"HMR_8448","MAR08448"
"HMR_8450",-0.000965291633627645,0,0,"HMR_8450","MAR08450"
"HMR_8456",-0.0411680784381104,-0.0435018686565413,-0.0590263672894244,"HMR_8456","MAR08456"
"HMR_8461",0,0,-0.000805185680829725,"HMR_8461","MAR08461"
"HMR_8463",-0.0276694747971634,-0.0147979285149492,-0.0107425815432015,"HMR_8463","MAR08463"
"HMR_8465",-0.0375958906291618,-0.0289184326680779,-0.046483050043627,"HMR_8465","MAR08465"
"HMR_8467",-0.341319309428959,-0.341975375134072,-0.326832434985584,"HMR_8467","MAR08467"
